Alias,SKU
"db 12a, doctor blade 12a, doctor blade 12, doctor 12a, db 12",DB 12A
"db 12a foam, foam doctor blade 12a, doctor blade foam 12, doctor 12a foam, foam db 12",DB 12A FOAM TYPE
"db 16a, doctor blade 16a, doctor blade 16, doctor 16a, db 16",DB 16A
"db 18a, doctor blade 18a, doctor blade 18, doctor 18a, db 18",DB 18A
"db 28a, doctor blade 28a, doctor blade 28, doctor 28a, db 28",DB 28A
"db 42a, doctor blade 42a, doctor blade 42, doctor 42a, db 42",DB 42A
"db 43x, doctor blade 43x, doctor blade 43x, doctor 43x, db 43x",DB 43X
"db 55a, doctor blade 55a, doctor blade 55, doctor 55a, db 55",DB 55A
"db 11a, doctor blade 11a, doctor blade 11, doctor 11a, db 11",DB 55A
"db 51a, doctor blade 51a, doctor blade 51, doctor 51a, db 51",DB 55A
"db 64a, doctor blade 64a, doctor blade 64, doctor 64a, db 64",DB 64A
"db 88a, doctor blade 88a, doctor blade 88, doctor 88a, db 88",DB 88A
"db 88a foam, foam doctor blade 88a, doctor blade foam 88, doctor 88a foam, foam db 88",DB 88A FOAM TYPE
"neverstop doctor blade, db W1104, doctor 1104, doctor neverstop 1200W, doctor neverstop 1104, neverstop doctor, 1104 db, 1104 doctor",DB W1104
"db w110a, db W1110a, doctor blade W1110a, doctor blade w110, doctor W1110a, db W1110a, db W110",DB W1110A
"db 137a, db W137a,  doctor blade 137a, doctor blade W137a, doctor blade 137, doctor blade w137, doctor 137a, db 137",DB 137A
"db 101, db MLT 101,  doctor blade 101, doctor blade MLT 101, doctor blade 101, doctor blade mlt 101, doctor mlt 101, db 101",DB MLT 101
"db 116, db MLT 116 foam,  doctor blade 116 foam type, doctor blade MLT 116, doctor blade 116, doctor blade mlt 116 foam, doctor mlt 116, foam db 116 ",DB MLT 116 (FOAM TYPE)
"db 1610, db MLT 1610,  doctor blade 1610, doctor blade MLT 1610, doctor blade 1610, doctor blade mlt 1610, doctor mlt 1610, db 1610",DB ML 1610
"db 1043, db MLT 1043,  doctor blade 1043, doctor blade MLT 1043, doctor blade 1043, doctor blade mlt 1043, doctor mlt 1043, db 1043",DB MLT 1043 / ML 1666
"db 1666, db MLT 1666,  doctor blade 1666, doctor blade MLT 1666, doctor blade 1666, doctor blade mlt 1666, doctor mlt 1666, db 1666",DB MLT 1043 / ML 1666
"db 203, db MLT 203,  doctor blade 203, doctor blade MLT 203, doctor blade 203, doctor blade mlt 203, doctor mlt 203, db 203",DB MLT 203
"db 2365, db TN 2365,  doctor blade 2365, doctor blade TN 2365, doctor blade 2365, doctor blade TN 2365, doctor tn 2365, db 2365",DB TN 2365
"db 1020, db TN 1020,  doctor blade 1020, doctor blade TN 1020, doctor blade 1020, doctor blade TN 1020, doctor tn 1020, db 1020",DB TN 1020
"db PC 210, db Pantum 210,  doctor blade pc 210, doctor blade 210, doctor blade pc 210, doctor blade pc210, doctor pantum 210, db 210",DB  PC-210
"db TL 412, db Pantum 412,  doctor blade tl 410, doctor blade 410, doctor blade tl 412, doctor blade tl210, doctor pantum 412,db tl 412",DB TL 412/410
,
"wb 05a, wiper blade 05a, wiper blade 05, wiper 05a, wb 05a",WB 05A
"wb 12a, wiper blade 12a, wiper blade 12, wiper 12a, wb 12",WB 12A
"wb 16a, wiper blade 16a, wiper blade 16, wiper 16a, wb 16",WB 16A
"wb 28a, wiper blade 28a, wiper blade 28, wiper 28a, wb 28",WB 28A
"wb 42a, wiper blade 42a, wiper blade 42, wiper 42a, wb 42",WB 42A
"wb 43x, wiper blade 43x, wiper blade 43x, wiper 43x, wb 43x",WB 43X
"wb 55a, wiper blade 55a, wiper blade 55, wiper 55a, wb 55",WB 55A
"wb 11a, wiper blade 11a, wiper blade 11, wiper 11a, wb 11",WB 55A
"wb 51a, wiper blade 51a, wiper blade 51, wiper 51a, wb 51",WB 55A
"wb 64a, wiper blade 64a, wiper blade 64, wiper 64a, wb 64",WB 64A
"wb 88a small, small wiper blade 88a, wiper blade 88 small, wiper small 88a, small wb 88",WB 88A (SMALL SIZE)
"wb 88a, wiper blade 88a, wiper blade 88, wiper 88a, wb 88",WB 88A SINGLE SIDE
"neverstop wiper blade, wb W1104, wiper 1104, wiper neverstop 1200W, wiper neverstop 1104, neverstop wiper, 1104 wb, 1104 wiper",WB W1104
"wb w110a, wb W1110a, wiper blade W1110a, wiper blade w110, wiper W1110a, wb W1110a, wb W110",WB W1110A
"wb 1215, wb cp1215,  wiper blade 1215, wiper blade cp 1215, wiper blade 1215, wiper blade cp1215, wiper 1215, wb cp 1215",WB CP 1215
"wb 137a, wb W137a,  wiper blade 137a, wiper blade W137a, wiper blade 137, wiper blade w137, wiper 137a, wb 137",WB 137A
"wb 101, wb MLT 101,  wiper blade 101, wiper blade MLT 101, wiper blade 101, wiper blade mlt 101, wiper mlt 101, wb 101",WB MLT 101
"wb 101, wb MLT 101,  wiper blade 101, wiper blade MLT 101, wiper blade 101, wiper blade mlt 101, wiper mlt 101, wb 101",WB MLT 116
"wb 1610, wb MLT 1610,  wiper blade 1610, wiper blade MLT 1610, wiper blade 1610, wiper blade mlt 1610, wiper mlt 1610, wb 1610",WB ML 1610
"wb 203, wb MLT 203,  wiper blade 203, wiper blade MLT 203, wiper blade 203, wiper blade mlt 203, wiper mlt 203, wb 203",WB MLT 203
"wb 205, wb MLT 205, wiper blade 205, wiper blade MLT 205, wiper blade 205, wiper blade mlt 205, wiper mlt 205, wb 205",WB MLT 205
